IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,287820359,7999.995,856.93317,5308.216,-4.704295,0.5592898,3.7979677,0.305727,0.14632761,47.45805,-0.02691975,-0.034387898,-0.030279519,2.175638,0.07591331,0.0039446675,0.25313282,0.3031307,0.39111054,0.42879164,-0.0030703328,-0.0019057482,0.18863764,0.15364341,145.0187,145.2066,149.14539,148.91093,0,0,0,0,0,0,0,0,0,0,0,0,-0.04242496,-0.057506926,-0.07443769,-0.0761072,0.042535916,0.057538494,0.20279332,0.17146021,-0.009848356,-0.006685391,-0.00083065033,0.0015352517,20,3,31,1,8,968.4379,203.15509,1506.2704,47.45926,312390.25,562.0795,185.74948,197.69296,175.8237,175.8237,7.702777,1,13550.504,71.27128,71.27128,20.520521,172.13878,2,1,255,0,0,0,4,0,189,0
True,287820453,7999.995,856.93317,5348.7856,-2.5827348,1.2118162,3.758949,0.13700485,0.13705659,47.827198,-0.034905083,-0.0031786764,-0.051718127,2.1741378,0.07280594,0.00056133413,0.41229996,0.2732358,0.32097763,0.36667585,-0.0027150575,-0.0026156253,0.19623911,0.14138736,146.23941,146.25922,150.45993,149.87439,0,0,0,0,0,0,0,0,0,0,0,0,-0.013448815,-0.031842332,-0.028536072,-0.025070485,0.013720137,0.03194958,0.19830304,0.14359288,0.00022087991,-0.008576602,-0.0052341223,-0.002364844,20,3,31,1,8,972.3422,202.81508,1503.5516,47.827587,314672.16,561.8808,185.4841,197.39877,175.66425,175.66425,7.702777,1,13558.967,71.27128,71.27128,20.620623,172.23889,2,1,255,0,0,0,4,0,197,0
True,287820593,7999.995,856.93317,5409.7646,-0.86437714,0.4662433,3.571821,0.038061142,0.15015471,48.3137,0.011902338,-0.008070665,-0.07205054,2.1741652,0.07115744,-0.008764996,0.48650423,0.37493026,0.56731665,0.53789455,-0.0018735537,-0.0020963105,0.1938863,0.18281388,147.65077,147.68091,151.93503,151.82327,0,0,0,0,0,0,0,0,0,0,0,0,-0.10635385,-0.11649109,0.006039001,-0.011135164,0.106370345,0.11650995,0.19398032,0.18315269,0.0049151927,-0.0021432042,0.010232896,0.008385554,20,3,31,1,8,977.6071,202.37585,1499.9094,48.31395,318020.38,561.5974,185.11418,196.97348,175.44998,175.44998,7.702777,1,13570.358,71.27128,71.27128,20.75409,172.37238,2,1,255,0,0,0,4,-23,207,0
True,287820687,7999.995,856.93317,5439.88,-4.92371,1.7060977,3.5207322,-0.06568527,0.15512073,48.666832,-0.060692593,-0.183217,-0.06866616,2.1651094,0.06752937,-0.016830787,0.423964,0.32948434,0.44590694,0.42062497,-0.0026078217,-0.0034257767,0.19549651,0.12321136,148.3556,149.26488,152.71848,152.7308,0,0,0,0,0,0,0,0,0,0,0,0,-0.23186563,-0.22726415,-0.029390194,-0.033427842,0.23188029,0.22728996,0.19769338,0.12766542,0.0009587705,-0.0050182045,0.0026098788,0.0010224879,20,3,31,1,8,981.607,202.05255,1497.178,48.667126,319783.34,561.42804,184.92426,196.7894,175.28813,175.28813,7.702777,1,13578.968,71.27128,71.27128,20.854189,172.47249,2,1,255,0,0,0,4,-47,216,0
True,287820796,7999.995,856.93317,5484.3804,-3.4278114,0.88637704,3.5109181,0.35362625,0.14018047,49.02099,0.023213785,-0.09339015,-0.06600948,2.1504822,0.06486756,-0.02300388,0.42153552,0.31070563,0.51981735,0.5324026,-0.0027546051,-0.0019376621,0.22427543,0.13285592,149.5786,150.06284,154.3094,153.63861,0,0,0,0,0,0,0,0,0,0,0,0,-0.030662142,-0.04633026,-0.093081065,-0.09859557,0.030785626,0.046370763,0.24282412,0.1654442,0.00080513954,-0.0062061846,0.0072505325,0.008040726,20,3,31,1,8,985.6624,201.7465,1494.4626,49.022457,322193.6,561.2261,184.66388,196.50253,175.13641,175.13641,7.702777,1,13587.633,71.27128,71.27128,20.954288,172.5726,2,1,255,0,0,0,4,0,226,0
True,287820921,7999.995,856.93317,5532.544,-3.0878325,0.8941765,3.703968,0.30233765,0.1523838,49.497948,-0.03280888,-0.023886248,-0.07798344,2.1431208,0.063413434,-0.034332722,0.42964467,0.2771348,0.45380113,0.38709283,-0.0025462739,-0.0017434009,0.18114729,0.14280424,151.29674,151.42699,155.48376,155.16858,0,0,0,0,0,0,0,0,0,0,0,0,-0.038202345,-0.0537621,-0.059175555,-0.06168118,0.038287107,0.05379036,0.1905678,0.15555583,0.0013181418,-0.008329943,0.003105536,-0.0010829121,20,3,31,1,8,991.1419,201.33907,1490.8523,49.499104,324955.9,560.96857,184.30905,196.10979,174.93001,174.93001,7.702777,1,13599.285,71.27128,71.27128,21.087755,172.70609,2,1,255,0,0,0,4,0,240,0
True,287821031,7999.995,856.93317,5572.2227,-1.9226558,0.70560044,3.5595007,0.16607094,0.14125955,49.85152,0.0066284593,0.0023667752,-0.051155817,2.1423688,0.061494745,-0.04031047,0.4231052,0.26026753,0.4663975,0.43419105,-0.002300343,-0.002434922,0.18501328,0.14802346,152.39096,152.37535,156.67535,156.20494,0,0,0,0,0,0,0,0,0,0,0,0,-0.021627814,-0.03811502,-0.02453525,-0.031370375,0.021749802,0.038192715,0.18663304,0.15131108,0.0009044409,-0.009397,0.0038964301,0.001874268,20,3,31,1,8,995.304,201.04414,1488.1465,49.851994,327136.56,560.77765,184.03293,195.813,174.77148,174.77148,7.702777,1,13608.083,71.27128,71.27128,21.187857,172.8062,2,1,255,0,0,0,4,0,253,0
True,287821125,7999.995,856.93317,5612.6514,-0.75632596,1.1153307,3.5463862,0.09654808,0.1560936,50.20137,-0.053408556,0.0041948054,-0.06480791,2.1428516,0.059785165,-0.04593533,0.4785729,0.30680096,0.44793916,0.3622706,-0.0026401253,-0.002920027,0.17155468,0.1557227,153.54347,153.51767,157.68791,157.4625,0,0,0,0,0,0,0,0,0,0,0,0,-0.005213719,-0.022641508,-0.008232767,-0.011740163,0.005844068,0.022829026,0.17175211,0.15616462,0.004413441,-0.006453201,0.0027374774,-0.0026414394,20,3,31,1,8,999.50104,200.7527,1485.4302,50.201706,329449.03,560.5607,183.76443,195.50587,174.60756,174.60756,7.702777,1,13616.941,71.27128,71.27128,21.287956,172.90631,2,1,255,0,0,0,4,0,9,0
True,287821265,7999.995,856.93317,5665.046,4.0241375,0.97988397,3.2778301,0.20032501,0.14107704,50.64971,0.008230904,0.15611549,-0.027017662,2.1501124,0.05607404,-0.05109116,0.49199623,0.30557966,0.52218044,0.44254258,-0.0019826018,-0.0004226987,0.15422334,0.19477735,155.04338,154.27982,159.15488,158.93745,0,0,0,0,0,0,0,0,0,0,0,0,0.43943354,0.5002657,0.01387386,0.0035458517,0.43943802,0.5002659,0.15484613,0.19480963,0.005262628,-0.0065304637,0.0073989034,0.00239864,20,3,31,1,8,1005.1346,200.38788,1481.7632,50.6503,332317.53,560.30865,183.5022,195.15073,174.39885,174.39885,7.702777,1,13628.851,71.27128,71.27128,21.421423,173.0398,2,1,255,0,0,0,4,127,26,0
True,287821359,7999.995,856.93317,5718.1924,6.876105,-0.18932539,3.1881475,-0.29240608,0.16965461,50.956577,0.0013664914,0.2752857,-0.06696223,2.1745362,0.05884046,-0.053186275,0.49906147,0.24890642,0.5025426,0.36884052,-0.0012920568,-0.0043675997,0.18578519,0.2433029,156.48398,155.0407,160.84584,160.2307,0,0,0,0,0,0,0,0,0,0,0,0,-0.008344226,-0.025707275,0.14966306,0.14689757,0.008443667,0.026075657,0.238569,0.2842098,0.0057095885,-0.010115728,0.006165892,-0.0022289306,20,3,31,1,8,1009.35004,200.11087,1478.932,50.957695,335337.28,560.02637,183.47183,194.97824,174.24402,174.24402,7.702777,1,13637.841,71.27128,71.27128,21.521523,173.13991,2,1,255,0,0,0,4,0,38,0
